name,terminology,code,term
fatal_ischaemic_heart_disease,ICD10,I249,"Acute ischaemic heart disease, unspecified"
fatal_ischaemic_heart_disease,ICD10,I250,"Atherosclerotic cardiovascular disease, so described"
fatal_ischaemic_heart_disease,ICD10,I251,Atherosclerotic heart disease
fatal_ischaemic_heart_disease,ICD10,I253,Aneurysm of heart
fatal_ischaemic_heart_disease,ICD10,I254,Coronary artery aneurysm and dissection
fatal_ischaemic_heart_disease,ICD10,I255,Ischaemic cardiomyopathy
fatal_ischaemic_heart_disease,ICD10,I256,Silent myocardial ischaemia
fatal_ischaemic_heart_disease,ICD10,I258,Other forms of chronic ischaemic heart disease
fatal_ischaemic_heart_disease,ICD10,I259,"Chronic ischaemic heart disease, unspecified"
fatal_arrythmias_heart_failure,ICD10,I46,Cardiac arrest
fatal_arrythmias_heart_failure,ICD10,I460,Cardiac arrest with successful resuscitation
fatal_arrythmias_heart_failure,ICD10,I461,"Sudden cardiac death, so described"
fatal_atherosclerosis,ICD10,I7001,Atherosclerosis of aorta
fatal_atherosclerosis,ICD10,I701,Atherosclerosis of renal artery
fatal_atherosclerosis,ICD10,I7010,Atherosclerosis of renal artery
fatal_atherosclerosis,ICD10,I7011,Atherosclerosis of renal artery
fatal_atherosclerosis,ICD10,I702,Atherosclerosis of arteries of extremities
fatal_atherosclerosis,ICD10,I7020,Atherosclerosis of arteries of extremities
fatal_atherosclerosis,ICD10,I7021,Atherosclerosis of arteries of extremities
fatal_atherosclerosis,ICD10,I708,Atherosclerosis of other arteries
fatal_atherosclerosis,ICD10,I7080,Atherosclerosis of other arteries
fatal_atherosclerosis,ICD10,I7081,Atherosclerosis of other arteries
fatal_atherosclerosis,ICD10,I709,Generalized and unspecified atherosclerosis
fatal_atherosclerosis,ICD10,I7090,Generalized and unspecified atherosclerosis
fatal_arrythmias_heart_failure,ICD10,I489,"Atrial fibrillation and atrial flutter, unspecified"
fatal_arrythmias_heart_failure,ICD10,I49,Other cardiac arrhythmias
fatal_arrythmias_heart_failure,ICD10,I490,Venticular fibrillation and flutter
fatal_arrythmias_heart_failure,ICD10,I491,Atrial premature depolarization
fatal_arrythmias_heart_failure,ICD10,I492,Junctional premature depolarization
fatal_arrythmias_heart_failure,ICD10,I493,Ventricular premature depolarization
fatal_arrythmias_heart_failure,ICD10,I494,Other and unspecified premature depolarization
fatal_arrythmias_heart_failure,ICD10,I495,Sick sinus syndrome
fatal_arrythmias_heart_failure,ICD10,I498,Other specified cardiac arrhythmias
fatal_arrythmias_heart_failure,ICD10,I499,"Cardiac arrhythmia, unspecified"
fatal_arrythmias_heart_failure,ICD10,I50,Heart failure
fatal_arrythmias_heart_failure,ICD10,I500,Congestive heart failure
fatal_cerebrovascular_disease,ICD10,I681,Cerebral arteritis in infectious and parasitic diseases classified elsewhere
fatal_cerebrovascular_disease,ICD10,I688,Other cerebrovascular disorders in diseases classified elsewhere
fatal_cerebrovascular_disease,ICD10,I69,Sequelae of cerebrovascular disease
fatal_cerebrovascular_disease,ICD10,I690,Sequelae of subarachnoid haemorrhage
fatal_cerebrovascular_disease,ICD10,I691,Sequelae of intracerebral haemorrhage
fatal_cerebrovascular_disease,ICD10,I692,Sequelae of other nontraumatic intracranial haemorrhage
fatal_cerebrovascular_disease,ICD10,I693,Sequelae of cerebral infarction
fatal_cerebrovascular_disease,ICD10,I694,"Sequelae of stroke, not specified as haemorrhage or infarction"
fatal_cerebrovascular_disease,ICD10,I698,Sequelae of other and unspecified cerebrovascular diseases
fatal_atherosclerosis,ICD10,I70,Atherosclerosis
fatal_atherosclerosis,ICD10,I700,Atherosclerosis of aorta
fatal_atherosclerosis,ICD10,I7000,Atherosclerosis of aorta
fatal_atherosclerosis,ICD10,I720,Aneurysm and dissection of carotid artery
fatal_atherosclerosis,ICD10,I721,Aneurysm and dissection of artery of upper extremity
fatal_atherosclerosis,ICD10,I722,Aneurysm and dissection of renal artery
fatal_atherosclerosis,ICD10,I723,Aneurysm and dissection of artery of iliac artery
fatal_atherosclerosis,ICD10,I724,Aneurysm and dissection of artery of lower extremity
fatal_atherosclerosis,ICD10,I725,Aneurysm and dissection of other precerebral arteries
fatal_atherosclerosis,ICD10,I726,Aneurysm and dissection of vertebral artery
fatal_atherosclerosis,ICD10,I728,Aneurysm and dissection of other specified arteries
fatal_atherosclerosis,ICD10,I729,Aneurysm and dissection of unspecified site
fatal_atherosclerosis,ICD10,I73,Other peripheral vascular diseases
fatal_atherosclerosis,ICD10,I730,Raynaud syndrome
fatal_atherosclerosis,ICD10,I731,Thromboangiitis obliterans [Buerger]
fatal_atherosclerosis,ICD10,I738,Other specified peripheral vascular diseases
fatal_atherosclerosis,ICD10,I739,"Peripheral vascular disease, unspecified"
fatal_sudden_death,ICD10,R96,"Other sudden death, cause unknown"
fatal_sudden_death,ICD10,R960,Instantaneous death
fatal_sudden_death,ICD10,R961,"Death occurring less than 24 hours from onset of symptoms, not otherwise explained"
fatal_atherosclerosis,ICD10,I7091,Generalized and unspecified atherosclerosis
fatal_atherosclerosis,ICD10,I71,Aortic aneurysm and dissection
fatal_atherosclerosis,ICD10,I710,Dissection of aorta [any part]
fatal_atherosclerosis,ICD10,I711,"Thoracic aortic aneurysm, ruptured"
fatal_atherosclerosis,ICD10,I712,"Thoracic aortic aneurysm, without mention of rupture"
fatal_atherosclerosis,ICD10,I713,"Abdominal aortic aneurysm, ruptured"
fatal_atherosclerosis,ICD10,I714,"Abdominal aortic aneurysm, without mention of rupture"
fatal_atherosclerosis,ICD10,I715,"Thoracoabdominal aortic aneurysm, ruptured"
fatal_atherosclerosis,ICD10,I716,"Thoracoabdominal aortic aneurysm, without mention of rupture"
fatal_atherosclerosis,ICD10,I718,"Aortic aneurysm of unspecified site, ruptured"
fatal_atherosclerosis,ICD10,I719,"Aortic aneurysm of unspecified site, without mention of rupture"
fatal_atherosclerosis,ICD10,I72,Other aneurysm and dissection
fatal_arrythmias_heart_failure,ICD10,I469,"Cardiac arrest, unspecified"
fatal_arrythmias_heart_failure,ICD10,I47,Paroxysmal tachycardia
fatal_arrythmias_heart_failure,ICD10,I470,Re-entry ventricular arrhythmia
fatal_arrythmias_heart_failure,ICD10,I471,Supraventricular tachycardia
fatal_arrythmias_heart_failure,ICD10,I472,Ventricular tachycardia
fatal_arrythmias_heart_failure,ICD10,I479,"Paroxysmal tachycardia, unspecified"
fatal_arrythmias_heart_failure,ICD10,I48,Atrial fibrillation and flutter
fatal_arrythmias_heart_failure,ICD10,I480,Paroxysmal atrial fibrillation
fatal_arrythmias_heart_failure,ICD10,I481,Persistent atrial fibrillation
fatal_arrythmias_heart_failure,ICD10,I482,Chronic atrial fibrillation
fatal_arrythmias_heart_failure,ICD10,I483,Typical atrial flutter
fatal_arrythmias_heart_failure,ICD10,I484,Atypical atrial flutter
fatal_cerebrovascular_disease,ICD10,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
fatal_cerebrovascular_disease,ICD10,I650,Occlusion and stenosis of vertebral artery
fatal_cerebrovascular_disease,ICD10,I651,Occlusion and stenosis of basilar artery
fatal_cerebrovascular_disease,ICD10,I652,Occlusion and stenosis of carotid artery
fatal_cerebrovascular_disease,ICD10,I653,Occlusion and stenosis of multiple and bilateral precerebral arteries
fatal_cerebrovascular_disease,ICD10,I658,Occlusion and stenosis of other precerebral artery
fatal_cerebrovascular_disease,ICD10,I659,Occlusion and stenosis of unspecified precerebral artery
fatal_cerebrovascular_disease,ICD10,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
fatal_cerebrovascular_disease,ICD10,I660,Occlusion and stenosis of middle cerebral artery
fatal_cerebrovascular_disease,ICD10,I661,Occlusion and stenosis of anterior cerebral artery
fatal_cerebrovascular_disease,ICD10,I662,Occlusion and stenosis of posterior cerebral artery
fatal_cerebrovascular_disease,ICD10,I663,Occlusion and stenosis of cerebellar arteries
